vendor,book,days_in_market,turnover,gross_sharpe,accuracy_r2,incremental_r2,breakeven_bps,holdout_sharpe,kind,pass_fund,buy
vendor_00,always_on,1.0,7.603147003486814,1.6958696837689353,0.30323318813816,0.09395974841662047,47.12181185341295,0.8543281712266877,genuine,True,True
vendor_00,event,0.2289348171701113,11.721622824630598,1.7816005616882815,0.30323318813816,0.09395974841662047,20.602357046343034,1.0576730696351988,genuine,True,True
vendor_01,always_on,1.0,7.151727104320643,0.8168226173662266,0.163453438914065,0.049322508755790584,21.78804921661408,1.9666746748857158,genuine,True,True
vendor_01,event,0.21617293835068055,10.94420215906492,1.1531268519543065,0.163453438914065,0.049322508755790584,10.776968184078672,1.4660135784658987,genuine,True,True
vendor_02,always_on,1.0,7.1823169284187385,0.06644797439299943,0.08811279326813407,0.026320257663416502,1.7854815192280604,1.1535928486767535,genuine,True,False
vendor_02,event,0.21617293835068055,10.962438084835203,-0.09189795483355574,0.08811279326813407,0.026320257663416502,0.0,0.8576784724253722,genuine,True,False
vendor_03,always_on,1.0,7.0547066413897745,-0.023393618717001245,0.044587492146289764,0.013567949488497821,0.0,2.0352049999915476,genuine,True,False
vendor_03,event,0.21617293835068055,10.894290572917482,-0.12477273808495674,0.044587492146289764,0.013567949488497821,0.0,1.5723568725988732,genuine,True,False
vendor_04,always_on,1.0,7.036279367422304,0.12049634919437341,0.025955113429858474,0.006839694454705336,3.1007599613954717,1.4810830401719985,genuine,True,False
vendor_04,event,0.21617293835068055,10.892149913932773,-0.2104062451651797,0.025955113429858474,0.006839694454705336,0.0,0.8254127740416787,genuine,True,False
vendor_05,always_on,1.0,7.265558062296369,-0.020270458469940085,0.43751337175073396,0.00011453105080394543,0.0,1.151708263910158,mirror,False,False
vendor_05,event,0.21617293835068055,11.008695355212025,0.030231201953482577,0.43751337175073396,0.00011453105080394543,0.2326935145268827,0.14417428403328134,mirror,False,False
vendor_06,always_on,1.0,7.196007723242173,-0.028311858813744126,0.31917589272345614,3.803304330207702e-05,0.0,1.4916497533901152,mirror,False,False
vendor_06,event,0.21617293835068055,10.974466150231141,-0.4077759481419576,0.31917589272345614,3.803304330207702e-05,0.0,-0.1678188454609331,mirror,False,False
vendor_07,always_on,1.0,7.327601139844434,-0.2686253268948443,0.00039612848717518625,0.00029022920096377636,0.0,2.0577925337671563,junk,False,False
vendor_07,event,0.23024830699774265,11.68968182669169,-1.8439895018663317,0.00039612848717518625,0.00029022920096377636,0.0,0.8332829364957399,junk,False,False
vendor_08,always_on,1.0,7.384107356926561,-0.8170246125262245,3.097196093085565e-06,1.9251471592762748e-05,0.0,0.5429299793145907,junk,False,False
vendor_08,event,0.23024830699774265,11.705794142272177,-1.966976819119018,3.097196093085565e-06,1.9251471592762748e-05,0.0,0.30177539348717997,junk,False,False
vendor_09,always_on,1.0,6.798061347535429,-0.6851202984871146,0.0011920848803735396,0.0003985094949159329,0.0,1.9330964861340387,junk,False,False
vendor_09,event,0.21617293835068055,10.772774330708375,-1.46368933739833,0.0011920848803735396,0.0003985094949159329,0.0,0.7593677941032707,junk,False,False
vendor_10,always_on,1.0,6.8405618208979755,-0.5557196601872745,0.00011385429706298875,7.921584624082101e-05,0.0,0.722772654968599,junk,False,False
vendor_10,event,0.21617293835068055,10.784937212731048,-1.1413910584580083,0.00011385429706298875,7.921584624082101e-05,0.0,0.7782793461823503,junk,False,False
vendor_11,always_on,1.0,6.880397910954068,-0.32526387747123936,3.852612094310921e-05,5.9384372521731343e-05,0.0,0.35559836190312805,junk,False,False
vendor_11,event,0.21617293835068055,10.789045595360022,-0.6824750254050154,3.852612094310921e-05,5.9384372521731343e-05,0.0,0.5694906038233684,junk,False,False
vendor_12,always_on,1.0,6.796352041455719,-0.504763893680979,0.00045788529938023203,0.00024968312505868617,0.0,1.778288781120246,junk,False,False
vendor_12,event,0.21617293835068055,10.765047169822662,-1.0460534657467413,0.00045788529938023203,0.00024968312505868617,0.0,1.1971829977327055,junk,False,False
vendor_13,always_on,1.0,6.887041744148659,-0.3785136926307594,9.083721148348201e-05,1.3779059784613246e-05,0.0,1.1559720778318796,junk,False,False
vendor_13,event,0.21617293835068055,10.79829464254037,-1.42624089175499,9.083721148348201e-05,1.3779059784613246e-05,0.0,0.49938443878062605,junk,False,False
vendor_14,always_on,1.0,6.915796813800806,-0.8397815150036959,5.229455371635502e-05,1.2923705492884352e-05,0.0,1.3857971879100281,junk,False,False
vendor_14,event,0.21617293835068055,10.819265432592232,-0.9910773018657777,5.229455371635502e-05,1.2923705492884352e-05,0.0,-0.027810142514800917,junk,False,False
vendor_15,always_on,1.0,6.861768843720667,-0.829563825120291,0.0001612314597170852,2.0837894857517192e-05,0.0,0.17347322810491206,junk,False,False
vendor_15,event,0.21617293835068055,10.79351979115014,-0.9609539708794711,0.0001612314597170852,2.0837894857517192e-05,0.0,0.26101982915206945,junk,False,False
vendor_16,always_on,1.0,6.824484795340249,-0.33130217155345176,1.597211411173809e-06,7.217714335205905e-06,0.0,-0.13003116315675356,junk,False,False
vendor_16,event,0.21617293835068055,10.782462722853047,-1.2430580229855435,1.597211411173809e-06,7.217714335205905e-06,0.0,0.5726233562053455,junk,False,False
vendor_17,always_on,1.0,6.87789569218133,0.10906655603105556,3.325108533384254e-06,6.357103839338407e-06,3.006525763057244,2.245541941121745,junk,False,False
vendor_17,event,0.21617293835068055,10.807688611715692,-0.8555933895721882,3.325108533384254e-06,6.357103839338407e-06,0.0,1.5461102271765415,junk,False,False
vendor_18,always_on,1.0,6.8668015721950235,0.1728163950307123,1.316921865816553e-07,2.0074189437391254e-06,4.691537926078393,1.0545319263130604,junk,False,False
vendor_18,event,0.21617293835068055,10.799789355957984,-0.4990006425452382,1.316921865816553e-07,2.0074189437391254e-06,0.0,0.7948006379519985,junk,False,False
vendor_19,always_on,1.0,7.302548983446732,-0.44153526324481207,0.0012086104831194003,1.6635697309919095e-05,0.0,0.9272458795793705,junk,False,False
vendor_19,event,0.2292768959435626,11.589182531146085,-1.707255061287009,0.0012086104831194003,1.6635697309919095e-05,0.0,0.5044860999197487,junk,False,False
vendor_20,always_on,1.0,6.90910508496293,-0.8940486665338767,1.8802609304130066e-05,2.17944916206525e-05,0.0,1.9998550097673586,junk,False,False
vendor_20,event,0.21617293835068055,10.808835294358023,-1.0551289882259405,1.8802609304130066e-05,2.17944916206525e-05,0.0,0.3707917477510183,junk,False,False
vendor_21,always_on,1.0,7.186420580004463,-0.1380365472990193,2.1459858540036348e-05,4.635462714008831e-06,0.0,0.6630125096274618,junk,False,False
vendor_21,event,0.2297029702970297,11.587697394197995,-1.4238885240583725,2.1459858540036348e-05,4.635462714008831e-06,0.0,1.287782903439169,junk,False,False
vendor_22,always_on,1.0,6.886090830815508,-0.20027799372757163,1.0540726889165511e-05,3.304952594218591e-05,0.0,1.7863045362277659,junk,False,False
vendor_22,event,0.21617293835068055,10.801277375612194,-0.7972486142037066,1.0540726889165511e-05,3.304952594218591e-05,0.0,1.09799089141596,junk,False,False
vendor_23,always_on,1.0,6.8754879619268685,-0.2546923512537864,5.0023796383254093e-05,9.368051192903959e-05,0.0,1.3820293770691252,junk,False,False
vendor_23,event,0.21617293835068055,10.796464912041118,-0.7587188599098651,5.0023796383254093e-05,9.368051192903959e-05,0.0,0.5624463263179191,junk,False,False
vendor_24,always_on,1.0,8.0970220607381,-0.5267889594179036,4.572969764381804e-06,5.4598634434688265e-05,0.0,1.214253995395622,junk,False,False
vendor_24,event,0.2358974358974359,12.427983579378846,-0.7096984972230919,4.572969764381804e-06,5.4598634434688265e-05,0.0,0.7799458173628158,junk,False,False
vendor_25,always_on,1.0,6.880996520174948,-0.611219203718357,8.38205635859271e-05,8.660121897374751e-08,0.0,0.7400381315321793,junk,False,False
vendor_25,event,0.21617293835068055,10.79948560572798,-1.589872139293942,8.38205635859271e-05,8.660121897374751e-08,0.0,0.8685681637029113,junk,False,False
vendor_26,always_on,1.0,6.8167771175263026,-0.25007263781796396,1.1258842268440705e-06,6.256226940948295e-06,0.0,0.9092475338143617,junk,False,False
vendor_26,event,0.21617293835068055,10.77154184631116,-0.669284635371027,1.1258842268440705e-06,6.256226940948295e-06,0.0,0.3287947489786391,junk,False,False
vendor_27,always_on,1.0,6.807734237435903,-0.5297437257567528,2.9108644924201506e-05,3.2365230380193566e-06,0.0,1.3916153885362432,junk,False,False
vendor_27,event,0.21617293835068055,10.768948540682045,-1.4771439926682444,2.9108644924201506e-05,3.2365230380193566e-06,0.0,0.4025676845729655,junk,False,False
vendor_28,always_on,1.0,7.204461134642642,-0.4207127205794026,0.00024711925121464947,0.0001269625142620301,0.0,0.4192572551747515,junk,False,False
vendor_28,event,0.2292768959435626,11.571651394086484,-1.4388227096368853,0.00024711925121464947,0.0001269625142620301,0.0,0.4627024220693237,junk,False,False
vendor_29,always_on,1.0,7.73413753480606,0.18772299271237058,1.3268430578894311e-06,8.112658218806246e-05,4.927521979045668,1.3471803121412356,junk,False,False
vendor_29,event,0.23346303501945526,12.108440036414267,-0.8252122288252337,1.3268430578894311e-06,8.112658218806246e-05,0.0,1.108763126084963,junk,False,False
