vendor,ann_turnover,sharpe_0,sharpe_10m,sharpe_25m,sharpe_50m,sharpe_100m,sharpe_250m,sharpe_500m,sharpe_1000m,sharpe_2500m,sharpe_5000m,sharpe_10000m,capacity_musd,true_ic,kind
vendor_00,40.2262232321236,1.0027200999101684,0.9497507424245205,0.9189682150548228,0.8842773043782601,0.8352177644461017,0.7378820903424397,0.6281997772098381,0.4731204392297686,0.16560968121616607,-0.1805006503479141,-0.6687898269216056,1000.0,0.03,REAL
vendor_01,45.39835060207304,1.939069644604861,1.8778239933819127,1.8422212203958979,1.8020887911421115,1.745317263325549,1.6326235853608237,1.5055453142913413,1.3257106665175082,0.968578208814236,0.5658096129464091,-0.003761178885849849,2500.0,0.025,REAL
vendor_02,43.87797523611818,1.14443532521121,1.0832913765860757,1.047761929015261,1.0077246754100413,0.9511104466411741,0.8388076825278346,0.7122957200547114,0.5334897383140731,0.17918904098386237,-0.21912902277548738,-0.7801402338229247,1000.0,0.02,REAL
vendor_03,51.13652599920485,1.013469141129999,0.9384457257569251,0.8948536772343955,0.8457330713741282,0.7762786388827253,0.6385195455434726,0.4833533973095685,0.26409189128479765,-0.17021488575656976,-0.6582154446965334,-1.3450270105741922,500.0,0.015,REAL
vendor_04,48.20684252818005,0.2685138756364379,0.1993232076209394,0.1591089668009391,0.11378455922270976,0.04967960239246382,-0.07753269447809127,-0.2209218911739893,-0.42373004798824837,-0.8261150121398181,-1.2793450828724702,-1.9192820620553384,50.0,0.01,REAL
vendor_05,47.02164005096794,0.34767802416589455,0.28143049814229737,0.2429341578863053,0.19955240724129225,0.1382067569008104,0.016510758783747265,-0.12059576614984774,-0.3144000486568179,-0.6985109009413153,-1.130502285623981,-1.7392634324031235,100.0,0.0,fake
vendor_06,37.057461885063084,1.8590024988404226,1.8100613698342265,1.7816127889205635,1.7495460927584394,1.704186907479427,1.6141565132405986,1.5126506031944347,1.3690375582751855,1.083970510435746,0.7627306823462606,0.309018734616707,5000.0,0.0,fake
vendor_07,48.68659908785649,0.3672272489736066,0.29634553494101845,0.2551511021327255,0.20872429920927288,0.14306443503478192,0.012781445303250602,-0.1340449271485109,-0.34167063566353006,-0.7534586915226307,-1.2170266747537186,-1.8710883537940566,100.0,0.0,fake
vendor_08,45.024421860022585,1.8911545081271905,1.8274131831406542,1.7903703460721712,1.7486241069915938,1.6895868856810892,1.572455833839215,1.4404705318859798,1.2538690422507879,0.8839256632165708,0.467734412776075,-0.11890470160002882,2500.0,0.0,fake
vendor_09,47.53797854685983,-1.0187485669982759,-1.0869911133287287,-1.1266473746873984,-1.1713367957520247,-1.2345326079723262,-1.359902418211986,-1.5011536471428488,-1.7008270564944703,-2.096607472856476,-2.5417841498520635,-3.169239411762935,,0.0,fake
vendor_10,47.55669378949453,1.5742610090610973,1.50660369866499,1.4672758191223114,1.4229461688875906,1.3602405381400255,1.2357789582907899,1.095449175941562,0.8968954126361351,0.5027074526407455,0.05834083278791172,-0.569698611373786,2500.0,0.0,fake
vendor_11,47.54512671089473,-0.11293724910193961,-0.17855782864388517,-0.2166834277312818,-0.2596417776831726,-0.3203786386582297,-0.440832506395475,-0.5764858075282324,-0.7681413444109929,-1.1476807869608807,-1.5740672847760901,-2.1741810059888884,,0.0,fake
vendor_12,48.63796528979419,0.19572381984703952,0.12726413389279911,0.08748706687715654,0.04266621924011937,-0.02070696463649166,-0.14639947941061063,-0.2879683519853875,-0.4880091207876483,-0.8842426794020815,-1.329509990806802,-1.9563867495561105,25.0,0.0,fake
vendor_13,50.03966068297598,0.4214036308433179,0.34703087277965455,0.30381251210438975,0.2551091344540468,0.18623767771560382,0.04961073710427346,-0.10431864448717601,-0.32190190908652333,-0.7531240857567704,-1.2380373643343032,-1.9211777882459997,100.0,0.0,fake
vendor_14,48.03385222426714,-0.06354731624194258,-0.13296261282115218,-0.17329987392296695,-0.2187562698261768,-0.2830358050220861,-0.4105523333843475,-0.5542166506023942,-0.757289973749346,-1.1597642463908557,-1.612384392076794,-2.2501421073751966,,0.0,fake
vendor_15,48.733250571055436,0.046785164440033035,-0.0238679671281811,-0.0649313606295225,-0.11121207225728211,-0.1766682058754431,-0.3065569508746154,-0.452954963600666,-0.6600037919812984,-1.0707477578293412,-1.5332993931867154,-2.1862125250347364,10.0,0.0,fake
vendor_16,47.98068663532886,1.236107838984307,1.1681414403973913,1.1286419005761925,1.0841258156556781,1.0211692408718334,0.8962539095076011,0.7554832442729702,0.5564337137208205,0.16170588120199314,-0.2825616702413098,-0.9091862195038745,1000.0,0.0,fake
vendor_17,48.156283930970936,-0.23294276204428432,-0.3025911265292125,-0.3430695803629128,-0.38869016336896334,-0.45321106286120916,-0.5812383058301612,-0.7255289165292371,-0.9295797407269715,-1.3343115633026477,-1.7899809685490211,-2.432955628645236,,0.0,fake
vendor_18,49.256361419071915,-0.191416457973769,-0.2631297526769754,-0.3048007202680198,-0.3517586189472107,-0.4181587750480924,-0.5498730014579969,-0.6982520372318937,-0.9079635260399723,-1.3235037937025875,-1.7906755580349865,-2.448684278498815,,0.0,fake
vendor_19,37.68383367905757,1.6877862569979345,1.638687954889912,1.6101546023162476,1.5779981339318063,1.5325223767029472,1.4422964793466435,1.3406267555523743,1.196882871130293,0.911897786532193,0.5912750706207226,0.13933059801813172,5000.0,0.0,fake
vendor_20,48.84237932452914,-0.16312460204447893,-0.23335854526924,-0.2741665942446263,-0.32014924098299824,-0.3851652950708318,-0.5141169466121942,-0.6593579927280694,-0.8645907108062162,-1.2711220818302533,-1.7279904826154682,-2.371269513944807,,0.0,fake
vendor_21,45.725772476093425,1.1176235087492958,1.053446360813177,1.0161502423146214,0.9741185928739929,0.91467786479891,0.7967470035300448,0.6638624476630299,0.4759951791099652,0.10357272757066882,-0.31533434789747106,-0.9056061967809468,1000.0,0.0,fake
